probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
204006_s_at,-0.8917,4.596103575154394e-05,Azalan,FCGR3A /// FCGR3B,"Fc fragment of IgG, low affinity IIIa, receptor (CD16a) /// Fc fragment of IgG, low affinity IIIb, receptor (CD16b)"
242019_at,0.7133,4.600571391569547e-05,Artan,CERS6,ceramide synthase 6
205535_s_at,0.6224,4.650594639065688e-05,Artan,PCDH7,protocadherin 7
207152_at,0.5859,4.639811826447393e-05,Artan,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2"
244584_at,0.8082,4.689387878594045e-05,Artan,KIAA1549L,KIAA1549-like
205850_s_at,0.6847,4.754665481849459e-05,Artan,GABRB3,"gamma-aminobutyric acid (GABA) A receptor, beta 3"
206577_at,0.544,4.8241604156001995e-05,Artan,VIP,vasoactive intestinal peptide
242825_at,0.5168,4.955610549700718e-05,Artan,LPPR5,lipid phosphate phosphatase-related protein type 5
211925_s_at,0.5364,4.986158638443219e-05,Artan,PLCB1,"phospholipase C, beta 1 (phosphoinositide-specific)"
201971_s_at,0.5746,5.0827888985466295e-05,Artan,ATP6V1A,"ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A"
208065_at,0.5951,5.1013779863377985e-05,Artan,ST8SIA3,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3"
213566_at,-0.6287,5.114431419712206e-05,Azalan,RNASE6,"ribonuclease, RNase A family, k6"
242372_s_at,0.65,5.190954972186162e-05,Artan,MFSD4,major facilitator superfamily domain containing 4
217465_at,0.5207,5.232616358860382e-05,Artan,NCKAP1,NCK-associated protein 1
1558122_s_at,0.5356,5.321313992763822e-05,Artan,CSRNP3,cysteine-serine-rich nuclear protein 3
206248_at,0.6704,5.339835722310185e-05,Artan,PRKCE,"protein kinase C, epsilon"
1555668_a_at,0.5521,5.372160545617356e-05,Artan,PARK2,parkin RBR E3 ubiquitin protein ligase
207501_s_at,0.6268,5.361050505317018e-05,Artan,FGF12,fibroblast growth factor 12
214553_s_at,0.5035,5.3568100680957575e-05,Artan,ARPP19,"cAMP-regulated phosphoprotein, 19kDa"
211864_s_at,-0.5112,5.3459152750200934e-05,Azalan,MYOF,myoferlin
224650_at,0.5001,5.355856776090357e-05,Artan,MAL2,"mal, T-cell differentiation protein 2 (gene/pseudogene)"
216920_s_at,-0.6183,5.4271035748191295e-05,Azalan,TARP /// TRGC2 /// TRGV9,TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2 /// T cell receptor gamma variable 9
207352_s_at,0.7895,5.524637675858098e-05,Artan,GABRB2,"gamma-aminobutyric acid (GABA) A receptor, beta 2"
1557181_s_at,0.5282,5.525353164283819e-05,Artan,C11orf87,chromosome 11 open reading frame 87
207772_s_at,0.5149,5.614362248784017e-05,Artan,PRMT8,protein arginine methyltransferase 8
230437_s_at,0.8059,5.8370403516501346e-05,Artan,PRKCB,"protein kinase C, beta"
225800_at,0.5014,5.850964735030069e-05,Artan,JAZF1,JAZF zinc finger 1
216375_s_at,0.525,6.182269903377568e-05,Artan,ETV5,ets variant 5
205799_s_at,0.5519,6.329292205200394e-05,Artan,SLC3A1,"solute carrier family 3 (amino acid transporter heavy chain), member 1"
229475_at,0.5003,6.377023299565321e-05,Artan,MAEL,maelstrom spermatogenic transposon silencer
206678_at,0.5085,6.378560005242489e-05,Artan,GABRA1,"gamma-aminobutyric acid (GABA) A receptor, alpha 1"
203768_s_at,0.6014,6.818403465256421e-05,Artan,STS,"steroid sulfatase (microsomal), isozyme S"
241729_at,0.5422,7.048663207824999e-05,Artan,DOK6,docking protein 6
206356_s_at,0.5211,7.265747625076229e-05,Artan,GNAL,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type"
210550_s_at,0.5528,7.526025539630057e-05,Artan,RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1
1570253_a_at,0.6743,7.58280071639825e-05,Artan,RHEBL1,Ras homolog enriched in brain like 1
210363_s_at,0.5685,7.65444671506318e-05,Artan,SCN2B,"sodium channel, voltage-gated, type II, beta subunit"
210718_s_at,-0.627,7.668125829871645e-05,Azalan,ARL17A /// ARL17B /// LOC100294341,ADP-ribosylation factor-like 17A /// ADP-ribosylation factor-like 17B /// ADP-ribosylation factor-like protein 17-like
224530_s_at,0.5655,7.690484428701359e-05,Artan,KCNIP4,Kv channel interacting protein 4
224489_at,-0.5203,7.749012625572613e-05,Azalan,LOC100294341 /// LOC101929774,ADP-ribosylation factor-like protein 17-like /// uncharacterized LOC101929774
207053_at,0.8052,7.874693034424422e-05,Artan,SLC8A1,"solute carrier family 8 (sodium/calcium exchanger), member 1"
238320_at,-0.5137,8.107925601866674e-05,Azalan,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
208593_x_at,0.6756,8.275658893715916e-05,Artan,CRHR1,corticotropin releasing hormone receptor 1
210315_at,0.7403,8.283672364189051e-05,Artan,SYN2,synapsin II
1555800_at,0.5125,8.329862266823852e-05,Artan,ZNF385B,zinc finger protein 385B
207050_at,0.6717,8.329798798915278e-05,Artan,CACNA2D1,"calcium channel, voltage-dependent, alpha 2/delta subunit 1"
204339_s_at,0.6272,8.3750464928003e-05,Artan,RGS4,regulator of G-protein signaling 4
212216_at,0.516,8.768431782299298e-05,Artan,PREPL,prolyl endopeptidase-like
206489_s_at,0.6101,8.8810159297379e-05,Artan,DLGAP1,"discs, large (Drosophila) homolog-associated protein 1"
203265_s_at,0.5014,8.974273079428435e-05,Artan,MAP2K4,mitogen-activated protein kinase kinase 4
202957_at,-0.6323,9.064408784272579e-05,Azalan,HCLS1,hematopoietic cell-specific Lyn substrate 1
244170_at,0.8224,9.30214547781934e-05,Artan,RAB3C,"RAB3C, member RAS oncogene family"
206383_s_at,0.5195,9.641149667258665e-05,Artan,G3BP2,GTPase activating protein (SH3 domain) binding protein 2
219302_s_at,0.6427,9.703581468175003e-05,Artan,CNTNAP2,contactin associated protein-like 2
208457_at,0.6181,9.894688635914814e-05,Artan,GABRD,"gamma-aminobutyric acid (GABA) A receptor, delta"
1554500_a_at,0.5057,0.00010086677854988833,Artan,RGS7,regulator of G-protein signaling 7
1552766_at,0.5648,0.00010126890384519386,Artan,HS6ST2,heparan sulfate 6-O-sulfotransferase 2
225516_at,-0.5503,0.00010213163831990338,Azalan,SLC7A2,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2"
204989_s_at,-0.6044,0.00010217767505960019,Azalan,ITGB4,"integrin, beta 4"
1555313_a_at,0.5244,0.00010278252653129611,Artan,MCF2,MCF.2 cell line derived transforming sequence
1559633_a_at,0.7433,0.00010310546460142662,Artan,CHRM3,"cholinergic receptor, muscarinic 3"
200660_at,-0.5313,0.00010574522513763069,Azalan,S100A11,S100 calcium binding protein A11
225353_s_at,-0.6616,0.00010647239265257828,Azalan,C1QC,"complement component 1, q subcomponent, C chain"
203561_at,-0.616,0.00010668007305200489,Azalan,FCGR2A,"Fc fragment of IgG, low affinity IIa, receptor (CD32)"
209813_x_at,-0.5689,0.00010816801332479403,Azalan,TARP /// TRGC2 /// TRGV9,TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2 /// T cell receptor gamma variable 9
1556029_s_at,0.7585,0.00010885128928477575,Artan,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
1552660_a_at,0.5004,0.00010884080399570287,Artan,C5orf22,chromosome 5 open reading frame 22
203645_s_at,-1.0595,0.000109136473894879,Azalan,CD163,CD163 molecule
1553428_at,0.6082,0.00010976751395041904,Artan,LY86-AS1,LY86 antisense RNA 1
206534_at,0.5828,0.0001107338786998089,Artan,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
1552842_at,0.8696,0.00011176277042628427,Artan,HS6ST3,heparan sulfate 6-O-sulfotransferase 3
244194_at,0.5409,0.00011335721220492204,Artan,ADAM22,ADAM metallopeptidase domain 22
229537_at,0.5017,0.0001146930412169352,Artan,LMO4,LIM domain only 4
215049_x_at,-1.1217,0.0001189292804962144,Azalan,CD163,CD163 molecule
213921_at,0.605,0.0001188480989502382,Artan,SST,somatostatin
208092_s_at,0.5385,0.00012203345118227173,Artan,FAM49A,"family with sequence similarity 49, member A"
208172_s_at,0.5153,0.00012399190137677804,Artan,KCNB2,"potassium voltage-gated channel, Shab-related subfamily, member 2"
217280_x_at,0.6357,0.0001287721636758105,Artan,GABRA5,"gamma-aminobutyric acid (GABA) A receptor, alpha 5"
221082_s_at,0.5423,0.0001287963549950115,Artan,NDRG3,NDRG family member 3
210750_s_at,0.7075,0.0001298185345420498,Artan,DLGAP1,"discs, large (Drosophila) homolog-associated protein 1"
215806_x_at,-0.536,0.00012978877203517322,Azalan,TARP /// TRGC2 /// TRGV9,TCR gamma alternate reading frame protein /// T cell receptor gamma constant 2 /// T cell receptor gamma variable 9
224840_at,-0.5325,0.0001336181751309189,Azalan,FKBP5,FK506 binding protein 5
206670_s_at,0.7444,0.00013774027366371164,Artan,GAD1,"glutamate decarboxylase 1 (brain, 67kDa)"
202953_at,-0.6895,0.0001376756767433757,Azalan,C1QB,"complement component 1, q subcomponent, B chain"
214772_at,0.5051,0.00013911392872938374,Artan,KIAA1549L,KIAA1549-like
220045_at,0.5518,0.00014164818518297613,Artan,NEUROD6,neuronal differentiation 6
220673_s_at,0.9152,0.00014193165834689564,Artan,PPP4R4,"protein phosphatase 4, regulatory subunit 4"
204990_s_at,-0.5169,0.00014248682900721662,Azalan,ITGB4,"integrin, beta 4"
226068_at,-0.6131,0.0001449673603459532,Azalan,SYK,spleen tyrosine kinase
201309_x_at,0.6624,0.00014972232986297835,Artan,NREP,neuronal regeneration related protein
243753_at,0.5829,0.00015104153404002415,Artan,ERICH3,glutamate-rich 3
208363_s_at,0.5175,0.00015259442706448939,Artan,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa"
210790_s_at,0.6966,0.00015399788409808818,Artan,SAR1A,"secretion associated, Ras related GTPase 1A"
218232_at,-0.57,0.0001560857619503409,Azalan,C1QA,"complement component 1, q subcomponent, A chain"
215687_x_at,0.6045,0.00015697894587041915,Artan,PLCB1,"phospholipase C, beta 1 (phosphoinositide-specific)"
227944_at,0.5153,0.0001583001629990538,Artan,PTPN3,"protein tyrosine phosphatase, non-receptor type 3"
243556_at,0.9034,0.00015826880161555777,Artan,NGEF,neuronal guanine nucleotide exchange factor
219725_at,-0.5192,0.0001591521488559641,Azalan,TREM2,triggering receptor expressed on myeloid cells 2
204924_at,-0.6675,0.00015980947362124502,Azalan,TLR2,toll-like receptor 2
222774_s_at,0.5866,0.0001639444531427729,Artan,NETO2,neuropilin (NRP) and tolloid (TLL)-like 2
207018_s_at,0.5975,0.00016418316429493406,Artan,RAB27B,"RAB27B, member RAS oncogene family"
224536_s_at,0.9294,0.00016417118361233967,Artan,PCDHGC3 /// PCDHGC5,"protocadherin gamma subfamily C, 3 /// protocadherin gamma subfamily C, 5"
215531_s_at,0.7117,0.00016452766722249238,Artan,GABRA5,"gamma-aminobutyric acid (GABA) A receptor, alpha 5"
206849_at,0.6094,0.00016458003055131224,Artan,GABRG2,"gamma-aminobutyric acid (GABA) A receptor, gamma 2"
208451_s_at,-0.7288,0.0001676801373619624,Azalan,C4A /// C4B /// C4B_2,"complement component 4A (Rodgers blood group) /// complement component 4B (Chido blood group) /// complement component 4B (Chido blood group), copy 2"
1552715_a_at,0.7377,0.0001706624810661726,Artan,RXFP1,relaxin/insulin-like family peptide receptor 1
231804_at,0.5956,0.00017184517876671525,Artan,RXFP1,relaxin/insulin-like family peptide receptor 1
221698_s_at,-0.5121,0.00017267114765695478,Azalan,CLEC7A,"C-type lectin domain family 7, member A"
243836_at,0.5716,0.00017618337625381037,Artan,UNC80,unc-80 homolog (C. elegans)
1556069_s_at,-0.5362,0.00017681263798562292,Azalan,HIF3A,"hypoxia inducible factor 3, alpha subunit"
217767_at,-0.5645,0.0001872253066534161,Azalan,C3,complement component 3
223620_at,-0.5507,0.00018847935422961666,Azalan,GPR34,G protein-coupled receptor 34
212063_at,-1.0151,0.0001888102004190739,Azalan,CD44,CD44 molecule (Indian blood group)
204888_s_at,0.5003,0.00019049753594698295,Artan,NEURL1,neuralized E3 ubiquitin protein ligase 1
235463_s_at,0.5278,0.00019818326499997864,Artan,CERS6,ceramide synthase 6
203798_s_at,0.5106,0.00019813140142707947,Artan,VSNL1,visinin-like 1
229374_at,0.5404,0.0002025757362825377,Artan,EPHA4,EPH receptor A4
1564339_a_at,0.568,0.00020320767483874983,Artan,CHRM3,"cholinergic receptor, muscarinic 3"
241902_at,0.5208,0.00020503129445676452,Artan,MKX,mohawk homeobox
207940_x_at,0.6169,0.00020500172422314173,Artan,CNR1,cannabinoid receptor 1 (brain)
205924_at,0.8004,0.00020742314485328807,Artan,RAB3B,"RAB3B, member RAS oncogene family"
224856_at,-0.5372,0.0002113413706194056,Azalan,FKBP5,FK506 binding protein 5
1555349_a_at,-0.5759,0.00021220925211956745,Azalan,ITGB2,"integrin, beta 2 (complement component 3 receptor 3 and 4 subunit)"
204489_s_at,-0.8902,0.00021267768415036243,Azalan,CD44,CD44 molecule (Indian blood group)
211451_s_at,0.508,0.00021518209625587479,Artan,KCNJ4,"potassium inwardly-rectifying channel, subfamily J, member 4"
216096_s_at,0.5266,0.00021713801455262288,Artan,NRXN1,neurexin 1
242183_at,0.5073,0.00022547215360555048,Artan,IRGQ,"immunity-related GTPase family, Q"
207044_at,0.6622,0.00022615716740182748,Artan,THRB,"thyroid hormone receptor, beta"
210939_s_at,0.5512,0.00023261011705456129,Artan,GRM1,"glutamate receptor, metabotropic 1"
207058_s_at,0.5146,0.00023288051514748514,Artan,PARK2,parkin RBR E3 ubiquitin protein ligase
229635_at,-0.757,0.0002358691948642171,Azalan,LINC01094,long intergenic non-protein coding RNA 1094
205630_at,0.9887,0.00024090566323617185,Artan,CRH,corticotropin releasing hormone
231744_at,0.5026,0.00024114144419619583,Artan,CELF5,"CUGBP, Elav-like family member 5"
207594_s_at,0.5648,0.00024117558702342547,Artan,SYNJ1,synaptojanin 1
227062_at,-0.6243,0.0002486834875598508,Azalan,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
230137_at,0.5128,0.0002534941091666126,Artan,TMEM155,transmembrane protein 155
201843_s_at,-0.5879,0.00025866466130777387,Azalan,EFEMP1,EGF containing fibulin-like extracellular matrix protein 1
204490_s_at,-0.8526,0.00025854441673387395,Azalan,CD44,CD44 molecule (Indian blood group)
