probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
214884_at,0.5562,0.0006771437868626062,Artan,MCF2,MCF.2 cell line derived transforming sequence
1555564_a_at,-0.5375,0.0006822662742816489,Azalan,CFI,complement factor I
1552367_a_at,-0.6614,0.0006982648290231052,Azalan,SCIN,scinderin
216120_s_at,0.5694,0.0007032514708407653,Artan,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
211586_s_at,0.692,0.0007218300271466067,Artan,ATP2B2,"ATPase, Ca++ transporting, plasma membrane 2"
1554834_a_at,0.5362,0.0007238042291564845,Artan,RASSF5,Ras association (RalGDS/AF-6) domain family member 5
1558034_s_at,-0.7769,0.0007530420958720471,Azalan,CP,ceruloplasmin (ferroxidase)
210519_s_at,-0.5372,0.0007534272733432586,Azalan,NQO1,"NAD(P)H dehydrogenase, quinone 1"
202833_s_at,-0.7842,0.0007594709338376193,Azalan,SERPINA1,"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1"
201467_s_at,-0.5456,0.0007835246311420397,Azalan,NQO1,"NAD(P)H dehydrogenase, quinone 1"
204846_at,-0.7579,0.0007876844922940401,Azalan,CP,ceruloplasmin (ferroxidase)
202878_s_at,-0.6187,0.0007974542990456236,Azalan,CD93,CD93 molecule
210982_s_at,-0.5663,0.0008028002228417175,Azalan,HLA-DRA,"major histocompatibility complex, class II, DR alpha"
239275_at,0.665,0.0008116021721622863,Artan,FRMPD2 /// FRMPD2P1 /// LOC101930006,FERM and PDZ domain containing 2 /// FERM and PDZ domain containing 2 pseudogene 1 /// FERM and PDZ domain-containing protein 2-like
219167_at,-0.6132,0.0008198156964299864,Azalan,RASL12,"RAS-like, family 12"
207613_s_at,0.5087,0.00084599923505635,Artan,CAMK2A,calcium/calmodulin-dependent protein kinase II alpha
207553_at,0.5287,0.0008700223944380019,Artan,OPRK1,"opioid receptor, kappa 1"
204955_at,-0.5431,0.0009842896779819294,Azalan,SRPX,"sushi-repeat containing protein, X-linked"
209047_at,-0.8745,0.001049241841518508,Azalan,AQP1,aquaporin 1 (Colton blood group)
244561_at,0.5006,0.00113036385582355,Artan,SLC9A1,"solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1"
201468_s_at,-0.5426,0.001180323611784448,Azalan,NQO1,"NAD(P)H dehydrogenase, quinone 1"
201761_at,-0.5281,0.0011879641771248874,Azalan,MTHFD2,"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
238692_at,0.5384,0.0012496091262400551,Artan,BTBD11,BTB (POZ) domain containing 11
236034_at,-0.5083,0.0012817225835588385,Azalan,ANGPT2,angiopoietin 2
201743_at,-0.5797,0.0013730491964413431,Azalan,CD14,CD14 molecule
228143_at,-0.5926,0.0014308479746140718,Azalan,CP,ceruloplasmin (ferroxidase)
211905_s_at,-0.6181,0.0014793695286702303,Azalan,ITGB4,"integrin, beta 4"
216895_at,0.5045,0.001496580543547564,Artan,GABRG3,"gamma-aminobutyric acid (GABA) A receptor, gamma 3"
206223_at,0.5001,0.001535763873989989,Artan,LMTK2,lemur tyrosine kinase 2
203665_at,-0.5622,0.0015416118237977742,Azalan,HMOX1,heme oxygenase (decycling) 1
1560692_at,0.5196,0.001725900844277478,Artan,VSTM2A /// VSTM2A-OT1,V-set and transmembrane domain containing 2A /// VSTM2A overlapping transcript 1
